"","Nu"
"AFAM060",53.2140249433107
"AMST217",41.7215547052154
"CHNS142",42.7940547052154
"CHNS155",42.7940547052154
"CHNS171",38.0586139455782
"EP&E248",63.542960600907
"HIST041",54.0471201814059
"HIST293J",42.2564243197279
"JAPN157",42.7940547052154
"JAPN163",42.7940547052154
"RUSS161",42.7940547052154
"AFAM215",66.4572845804989
"AFAM125",70.0538718820862
"PHYS166L",45.9953344671202
"PLSC118",76.4130385487528
"PLSC113",67.3151927437642
"GLBL261",72.619410430839
"EAST404",81.842074829932
"PLSC220",48.1871995464853
"ER&M300",74.4318764172336
"HIST462J",49.5939824263039
"AMST441",38.1488137755102
"HIST348J",66.8220068027211
"CLCV236",62.3652607709751
"AFAM251",69.4915022675737
"AFAM198",68.6050623582766
"EP&E255",73.989574829932
"LING212",49.9794727891156
"MUSI349",60.5127437641723
"SPAN246",75.8180555555556
"AFAM185",67.1723526077098
"AMST469",65.3894727891156
"HIST104J",65.1773526077098
"USAF402",78.4322222222222
"AFAM408",45.5830272108844
"EALL319",75.3340986394558
"EALL239",69.404574829932
"ENGL219",62.2585090702948
"AFAM300",70.1531519274376
"AMST257",73.8374829931973
"SPAN353",75.4117630385488
"AMST348",49.9208276643991
"AFAM030",68.4087074829932
"AFAM202",60.3413038548753
"AMST385",73.6638888888889
"ECON182",61.9473639455782
"AFAM343",61.7215036848073
"AMST422",48.6447137188209
"ART224",65.3782213718821
"HIST270J",48.9507936507936
"HIST364J",50.2359339569161
"PLSC166",76.9706009070295
"AFAM172",71.8494274376417
"HIST191J",72.4065816326531
"AMST010",76.5015192743764
"HIST102J",82.294574829932
"ER&M209",81.8711111111111
"HIST227",42.7684013605442
"PSYC160",55.7533786848073
"AFST432",42.2264229024943
"HIST413J",70.62089569161
"HIST254J",51.3954535147392
"PSYC110",78.0688888888889
"AMST284",56.839880952381
"E&EB145",39.053691893424
"AFAM203",46.6840150226757
"GLBL260",68.4685260770975
"HIST134J",44.9491099773243
"HSAR462",41.9384708049887
"AFAM270",69.5629081632653
"EP&E497",71.1107823129252
"AFAM325",41.6043494897959
"EP&E243",80.934574829932
"EVST312",59.8046882086168
"EVST211",52.016060090703
"LATN421",78.7087414965986
"LITR245",62.169574829932
"HNDI142",74.8726133786848
"MUSI478",76.3386734693878
"AFAM403",51.1849957482993
"PLSC214",79.9094444444444
"EP&E301",46.2995790816327
"FILM241",50.8980158730159
"PLSC232",48.3152891156463
"LAST267",58.4381009070295
"AMST271",58.5752380952381
"AFAM410",69.2742970521542
"ENGL230",72.0067630385488
"CLCV245",64.2528911564626
"EP&E263",78.0454875283447
"PSYC414",48.7895705782313
"RLST020",68.3168494897959
"SPAN120",75.0401133786848
"PLSC111",79.9491666666667
"PLSC257",68.3001133786848
"AMST193",69.5803571428571
"HIST450J",69.4953401360544
"AFAM380",78.5113548752834
"AMST400",54.6890376984127
"EAST032",49.8802735260771
"HIST396",76.1505555555556
"PLSC415",61.1235260770975
"GMAN208",64.9773526077097
"HIST308J",70.8216666666667
"RLST110",70.4542290249433
"PLSC398",55.3542020975057
"AMST272",65.4872052154195
"ER&M221",71.1854081632653
"HIST255J",61.0508163265306
"THST240",64.1887244897959
"PLSC135",84.2325
"EALL255",45.4314115646259
"ANTH473",33.3261523683547
"ENGL275",69.79839569161
"HSAR115",74.049835600907
"SPAN055",53.6146315192744
"ECON467",48.4568579931973
"HUMS300",46.3450467687075
"AMST466",73.8183163265306
"CLCV212",78.8965986394558
"HUMS163",63.7828911564626
"YORU171",82.8805555555556
"SPAN333",48.0841780045351
"RUSS022",56.9413548752835
"GMAN382",50.3879195011338
"ENGL226",42.1520989229025
"ENGL018",45.7016099773243
"ENGL421",48.7294926303855
"MUSI010",70.3605385487528
"ARCG226",58.7226133786848
"EDST230",70.6386904761905
"EVST245",61.3925793650794
"PLSC374",46.5556363378685
"EALL302",59.5968764172336
"ENGL192",64.5066666666667
"EP&E235",87.1540192743764
"SCIE031",70.79
"LAST214",80.6002777777778
"ER&M376",48.52089569161
"MCDB109",51.8314512471655
"NAVY412",47.6760430839002
"HIST299J",77.3151303854875
"ENGL220",74.3251303854875
"HIST398J",55.2770408163265
"PLSC241",41.7715433673469
"GMAN151",66.2640022675737
"RUSS142",68.2774829931973
"PERS150",69.6240192743764
"GMAN140",64.6945408163265
"CHNS167",72.8600524376417
"CHNS130",79.8631689342404
"HIST302J",60.3357482993197
"PLSC366",79.0122222222222
"ANTH339",50.5546712018141
"HIST168J",48.5055158730159
"HIST248",37.9085218253968
"HSAR331",37.9085218253968
"HIST131J",51.0252040816327
