"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"1","AFAM060","Significance of American Slavery","<p>The history of American slavery, its destruction during the nineteenth century, and its significance today. Topics include the origins of slavery, the development of racism, the transatlantic slave trade, the experience of enslavement, resistance to slavery, the abolitionist movement, the process of emancipation, and the perpetuation of slavery and other forms of unfree labor in the twenty-first century.</p>","AMST060","HIST016",NA,NA,NA,NA,NA,NA,NA,"american destruction nineteenth significance topics origins racism transatlantic slave trade enslavement resistance abolitionist movement emancipation perpetuation unfree labor twentyfirst"
"2","AFAM125","The Long Civil Rights Movement","<p>Political, social, and artistic aspects of the U.S. civil rights movement from the 1920s through the 1980s explored in the context of other organized efforts for social change.&#160;Focus on relations between the African American freedom movement and debates about gender, labor, sexuality, and foreign policy. Changing representations of social movements in twentieth-century American culture; the politics of historical analysis.</p>","HIST136","AMST125",NA,NA,NA,NA,NA,NA,NA,"political social artistic aspects civil movement 1920s explored context organized relations african american freedom labor sexuality foreign policy representations movements twentiethcentury culture politics historical change focus"
"3","AFAM185","The Harlem Renaissance","<p>Study of the social, political, and aesthetic circumstances of the Harlem Renaissance, one of the most important periods in African American life. Focus on constitutive debates and key texts to better understand the origins and aims of the movement and its connection to formal politics and activism. Frequent use of relevant materials in Beinecke Library.</p>","ENGL193",NA,NA,NA,NA,NA,NA,NA,NA,"social political aesthetic circumstances harlem renaissance periods african american life focus constitutive key texts understand origins aims movement formal politics activism frequent use materials beinecke"
"4","AFAM251","Critical Race Theory","<p>Introduction to critical race theory,&#160;a radical critique of relations among race, law, and power in U.S. politics and society. Intellectual foundations of the field, with emphasis on African American perspectives; key juridical acts.&#160;The centrality of U.S. law in producing social hierarchies of&#160;race and racial difference, gender, sexuality, and class. The extension of critical race theory to global analysis of race, immigration, and cultural difference.</p>","AMST397",NA,NA,NA,NA,NA,NA,NA,NA,"race radical relations politics society foundations emphasis african american perspectives key juridical centrality producing social hierarchies racial sexuality class immigration cultural acts"
"5","AFAM325","Social Policy and the Politics of Inequality in the United States","<p>The contours and consequences of inequality in the United States, including explanations for why it has&#160;expanded over the past several decades and why Americans seem to tolerate more of it. The development of the modern welfare state and the causes of racialized poverty, segregation, and incarceration.</p>","PLSC211",NA,NA,NA,NA,NA,NA,NA,NA,"contours states including explanations decades americans seem tolerate modern state racialized poverty segregation incarceration expanded"
"6","AFAM403","Black Women and Popular-Music Culture","<p>Forms of musical artistry innovated by black women artists as sites of social, political, and cultural rupture, revision, and resistance. The intersecting politics of race, gender, class, and sexuality in popular-music culture considered through black women's sonic performances. Examination of voice, lyricism, embodied performance, and spectacle. Artists range from Bessie Smith, Billie Holiday, Lena Horne, and Eartha Kitt to Nina Simone, Grace Jones, Lauryn Hill, Nicki Minaj, and Janelle Monáe.</p>","AMST386","THST431",NA,NA,NA,NA,NA,NA,NA,"musical artistry innovated black women artists sites social political cultural rupture revision resistance intersecting politics race class sexuality popularmusic culture womens sonic lyricism embodied performance spectacle bessie smith billie holiday lena horne eartha kitt nina simone grace jones lauryn hill nicki minaj janelle monáe"
"7","AFAM406","Autobiography in America","<p>A study of autobiographical writings from Mary Rowlandson's Indian captivity narrative (1682) to the present. Classic forms such as immigrant, education, and cause narratives; prevailing autobiographical strategies involving place, work, and photographs. Authors include Franklin, Douglass, Jacobs, Antin, Kingston, Uchida, Balakian, Rodriguez, and Bechdel.</p>
","AMST710","AFAM588","ENGL948","ENGL405","AMST405",NA,NA,NA,NA,"autobiographical writings rowlandsons indian captivity narrative 1682 present classic immigrant cause narratives prevailing strategies place work photographs authors franklin douglass jacobs antin kingston uchida balakian rodriguez bechdel"
"8","AFAM408","African American Poets of the Modern Era","<p>The African American practice of poetry between 1900 and 1960, especially of sonnets, ballads, sermonic, and blues poems. Poets include Paul Laurence Dunbar, Langston Hughes, Sterling Brown, Gwendolyn Brooks, Margaret Walker, and Robert Hayden. Class sessions at the Beinecke Library for inspection and discussion of original editions, manuscripts, letters, and other archival material.</p>
","ENGL443","AMST460",NA,NA,NA,NA,NA,NA,NA,"african american practice poetry 1900 1960 sonnets ballads sermonic blues paul laurence dunbar langston hughes sterling brown gwendolyn brooks margaret walker robert hayden class beinecke inspection discussion original editions manuscripts letters archival material"
"9","AFAM410","Interdisciplinary Approaches to African American Studies","<p>An interdisciplinary, thematic approach to the study of race, nation, and ethnicity in the African diaspora. Topics include class, gender, color, and sexuality; the dynamics of reform, Pan-Africanism, neocolonialism, and contemporary black nationalism. Use of a broad range of methodologies.</p>
","AMST310","WGSS410",NA,NA,NA,NA,NA,NA,NA,"thematic race ethnicity african diaspora topics class sexuality panafricanism neocolonialism contemporary black nationalism use broad"
"12","AFAM469","Urban Inequalities and Educational Inequality","<p>Analysis of contemporary policy problems related to academic under performance in lower income urban schools and the concomitant achievement gaps among various racial and ethnic groups in United States K-12 education.&#160;Historical review of opportunity inequalities and policy solutions proposed to ameliorate differences in achievement and job readiness. Students benefit from practical experience and interdisciplinary methods, including a lab component with time spent in a New Haven high school.&#160;</p>","ECON171","EDST271",NA,NA,NA,NA,NA,NA,NA,"contemporary policy related academic performance income urban schools concomitant achievement gaps racial groups states k12 inequalities solutions proposed ameliorate differences job readiness students benefit methods including lab component time spent high historical "
"13","AFAM030","War and Rebellion in Early America","<p>The role of war and rebellion in early American history, from precontact to the War of 1812. Changing roles and meanings of war and rebellion; the impact of these violent events on European, Indian, and African populations; implications of using war and rebellion as historical categories.</p>","AMST011","HIST023",NA,NA,NA,NA,NA,NA,NA,"war american precontact 1812 violent events european indian african populations implications using historical"
"14","AFAM380","Antebellum America","<p>History of the United States from the Jackson administration through the Civil War. Emphasis on race, slavery, and the coming of the war, with some attention to western expansion.</p>","AMST407","HIST111J",NA,NA,NA,NA,NA,NA,NA,"states jackson administration civil war emphasis race western expansion"
"15","AFAM172","The Civil War and Reconstruction Era, 1845–1877","<p>The causes, course, and consequences of the American Civil War. A search for the multiple meanings of a transformative event, including national, sectional, racial, constitutional, social, gender, intellectual, and individual dimensions.</p>
","HIST119",NA,NA,NA,NA,NA,NA,NA,NA,"course american civil war search multiple transformative event including national sectional racial social individual"
"16","AFAM198","Propaganda, Ideology, and Democracy","<p>Historical, philosophical, psychological, and linguistic introduction to the issues and challenges that propaganda raises for liberal democracy. How propaganda can work to undermine democracy; ways in which schools and the press are implicated; the use of propaganda by social movements to address democracy's deficiencies; the legitimacy of propaganda in cases of political crisis.</p>","EP&E494","CGSC277","PHIL177",NA,NA,NA,NA,NA,NA,"historical psychological linguistic challenges raises liberal work undermine schools press implicated use social movements democracys deficiencies legitimacy cases political crisis"
"17","AFAM215","African American Art, 1963 to the Present","<p>Modern African American artistic production explored in the context of American art and social history. Critical race theory and artistic discourse from the Spiral group in 1963, to the Black Arts Movement and  the culture wars, to current readings in American and postblack art. The complicated relations between African American art and politics. Use of art objects from the Yale University Art Gallery.</p>
","HSAR373",NA,NA,NA,NA,NA,NA,NA,NA,"modern african american artistic production explored context social race discourse spiral 1963 black arts movement  culture wars postblack complicated relations politics use objects yale"
"18","AFAM203","Coltrane and Hendrix","<p>The parallel careers of John Coltrane and Jimi Hendrix in different genres of black music explored through biographical, music-analytical, and sociocontextual approaches. The stylistic evolutions in each musician's work; the music of Coltrane and Hendrix as embodiments of, and reactions to, the dominant musical and social issues of the 1960s.</p>","MUSI277",NA,NA,NA,NA,NA,NA,NA,NA,"parallel careers coltrane jimi hendrix black explored biographical musicanalytical sociocontextual stylistic evolutions musicians work embodiments dominant musical social 1960s"
"19","AFAM270","Poverty, Politics, and Policy in the American City","<p>Examination of how politics informs the formulation and implementation of policies to address urban poverty. Consideration of alternative explanations for poverty and alternative government strategies. Focus on efforts by local organizations and communities to improve their situations within the context of government actions.</p>
","PLSC280",NA,NA,NA,NA,NA,NA,NA,NA,"politics informs formulation urban poverty explanations government strategies focus organizations situations within context actions"
"20","AFAM343","Literatures of Blacks and Jews from the Twentieth Century","<p>Comparative study of representative writings by African, Caribbean, and African American authors of the past one hundred years, together with European, American, and South African Jewish authors writing in Yiddish, Hebrew, French, and English. Examination of the paradoxically central role played by minority, or marginal groups, in the creation of modern literature and the articulation of the modern experience.</p>","LITR343","AFST326","ENGL231","JDST325",NA,NA,NA,NA,NA,"comparative representative writings african caribbean american authors hundred together european jewish writing yiddish hebrew french english paradoxically central minority marginal groups modern articulation"
"21","AFAM300","Afrofuturism","<p>Survey of Afrofuturism from political and philosophical perspectives, with investigation of alternative forms of narrative and social critique to bear on contemporary questions of race, imagination, and social justice. How black writers, thinkers, and musicians have turned to speculative genres to observe American history and politics as well as urgent moral dilemmas.</p>","PLSC337",NA,NA,NA,NA,NA,NA,NA,NA,"afrofuturism political perspectives narrative social bear contemporary race black writers thinkers musicians speculative observe american politics well urgent moral dilemmas"
"22","AFAM303","Orisa Worship and Afro-Cuban Folkloric Dance","<p>Study of Afrodescendants in Cuba and how sacred forms of Orisa worship were practiced, studied, interpreted, and represented on stage. Understanding blackness, collective black-lived experiences, and the black dancing body in Cuba. Readings drawn from art history, ethnomusicology, anthropology, dance studies, religious studies, theology, history, and black studies, providing close study of concepts of religion, deity, folklore, nation, blackness, and dance. Concepts illustrated through readings, movement practice (dance classes), and spectatorship.</p>","THST307","MUSI348",NA,NA,NA,NA,NA,NA,NA,"afrodescendants cuba orisa worship practiced interpreted represented stage blackness blacklived experiences black dancing ethnomusicology anthropology dance theology providing concepts deity folklore movement practice classes spectatorship"
"23","AFAM202","Life and Writings of Frederick Douglass","<p>The life, times, and works of Frederick Douglass, African American abolitionist and leader of the nineteenth century. Douglass's writings, including autobiographies, oratory, and editorials, and his role as a historical actor in the antislavery and early civil rights movements. Deep inquiry into the craft of biography.</p>","HIST103J",NA,NA,NA,NA,NA,NA,NA,NA,"life works frederick douglass african american abolitionist leader nineteenth douglasss writings including autobiographies oratory editorials historical actor antislavery civil movements deep inquiry biography"
"26","AFST272","African Prehistory","<p>Survey of archaeological evidence for the original contributions of the African continent to the human condition. The unresolved issues of African prehistory, from the time of the first hominids, through development of food production and metallurgy, to the rise of states and cities.</p>","ARCG272","ANTH272",NA,NA,NA,NA,NA,NA,NA,"archaeological original contributions african continent condition unresolved prehistory time first hominids production metallurgy states cities"
"27","AFST335","A History of South Africa","<!--StartFragment-->
<p><span>An introduction to the history of southern Africa, especially South Africa. Indigenous communities; early colonial contact; the legacies of colonial rule; postcolonial mismanagement; the vagaries of the environment; the mineral revolution; segregationist regimes; persistent inequality and crime since the end of apartheid; the specter of AIDS; postcolonial challenges in Zimbabwe, Angola, and Mozambique.<br /></span></p>
<!--EndFragment-->
","ER&M325","HIST335",NA,NA,NA,NA,NA,NA,NA,"southern africa indigenous colonial postcolonial mismanagement vagaries environment mineral revolution segregationist regimes persistent crime end apartheid specter aids challenges zimbabwe angola mozambiquebr "
"28","AFST340","Africa in the Era of the Slave Trade","<p>Examination of the tumultuous changes experienced by African societies during the era of the Atlantic slave trade, approximately 1450–1850. Focus on the complex interaction between the internal dynamics of African societies and the impact of outside forces.</p>
","HIST340",NA,NA,NA,NA,NA,NA,NA,NA,"tumultuous experienced african era atlantic slave trade 14501850 focus complex interaction internal forces"
"29","AFST449","Challenges to Realism in Contemporary African Fiction","<p>Introduction to experimental African novels that challenge realist and documentary modes of representation. Topics include mythology, gender subversion, politics, the city, migration, and the self. Ways of reading African and postcolonial literature through the lenses of identity, history, and nation.</p>","ENGL449",NA,NA,NA,NA,NA,NA,NA,NA,"african novels realist documentary modes topics mythology subversion politics self postcolonial lenses identity"
